genus 	a1	a2	a3	a4	a5	a6	a7	b1	b2	c1	c2	c3	d1	d2	d3	d4	e1	e2	e3	e4	e5	e6	e7	e8	f1	f2	f3	f4	g1	g2	g3	g4	g5	j1	j2	j3	j4	j5	u1	u2	u3	u4	u5	u6	u7	u8	h1	h2	h3	h4	h5	h6	h7	h8	h9	i2	i3	i4	i5	i6	i7	i8	GRA	MIN	XYL	SHR	GAT	AFF	PFF	PRED	PAR	OTHER
taxon57	0	0	3	1	0	0	0	3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	2	0	0	0	0	3	3	1	0	0	0	0	0	1	4	0	0	0	0	0	2	0	2	4	0	0	1	0	1	3	2	0	0	0	0	0.2	0	0	0.2	0.5	0	0	0.1	0	0
taxon58	0	0	3	1	0	0	0	3	0	0	3	1	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	3	0	0	0	0	3	2	3	0	0	0	0	0	1	4	0	0	0	0	0	1	1	2	3	0	2	0	0	1	3	1	0	0	1	0	0	0	0	0.21	0	0	0	0.79	0	0
taxon59	0	0	0.444444444	2.222222222	1.222222222	0	0	2.3	0.3	0.3	2.7	0	2.555555556	3	2.888888889	0	0	0	0	2	0	0	0.8	0	0.444444444	1.722222222	0	2.222222222	0.111111111	0	0	0.722222222	1.333333333	2.4	2.2	0	0	0	0	0	0	5	0	0	0	0	0.055555556	0.166666667	2.611111111	1.222222222	2.222222222	0.111111111	0.055555556	0.555555556	0	0.111111111	2.777777778	0.888888889	0	0	0.166666667	0	0.224333333	0	0	0.499	0.078666667	0	0.021	0.177	0	0
taxon60	0	3	0	0	0	0	0	3	0	0	3	0	3	0	0	2	0	0	0	3	0	0	1	0	2	1	0	3	0	0	0	0	3	2	2	0	0	0	1	0	3	3	0	0	0	0	0	1	0	3	0	0	0	0	0	0	1	3	0	0	0	0	0.13	0	0	0.56	0.11	0	0	0.2	0	0
taxon61	0	0	0	3	2	0	0	1	0	0	3	0	3	3	3	0	0	0	0	1	0	0	0	0	0	2	0	3	0	0	0	2	2	2	2	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0.1	0	0	0.3	0.25	0	0	0.35	0	0
taxon62	0	0	1	3	0	0	0	3	0	0	3	0	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	1	0	0	0	2	2	3	0	0	0	0	0	0	0	2	0	0	3	0	0	2	0	3	1	0	0	1	0	0	0	2	3	0	1	0	0	0	0	0	0	0	1	0	0	0
taxon63	0	0	1	3	0	0	0	3	1	1	3	2	3	3	3	0	0	0	0	3	0	0	0	0	1	1	1	2	0	0	0	1	3	3	0	0	0	0	0	0	1	1	0	0	3	0	0	1	1	3	1	0	3	4	0	0	1	0	1	0	3	0	0	0	0	0	0	0	0.1	0.9	0	0
taxon64	0	0	1	3	2	0	0	2	2	0	3	0	3	3	3	0	0	0	3	0	0	0	0	0	3	2	1	2	1	0	0	2	3	2	1	0	0	0	0	0	2	3	0	0	1	0	0	1	1	1	0	0	1	5	0	0	0	0	0	0	3	0	0.006	0	0	0.031	0	0	0	0.963	0	0
taxon65	0	0	0	3	0	0	0	1.5	0.25	0.5	1	0.75	3	3	3	0	0	0	0	3	0	0	0	0	2	1	1	1	0	0	0	0	1	2	2	0	0	0	0	0	0	5	0	0	0	0	0	0	3	0	3	0	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
taxon66	0	0	0	3	0	0	0	3	1	2	3	1	3	3	3	0	0	0	0	3	0	0	0	0	2	1	1	1	0	0	0	1	3	2	2	0	0	0	0	0	0	4	1	1	0	0	0	0	3	1	2	0	1	1	0	0	3	1	0	0	0	0	0	0	0	0.9	0	0	0	0.1	0	0
